                    			457                           
ate                 			2                             
created             			1                             
Effies              			4                             
penguinsoul         			1                             
cosmic              			1                             
Horn                			1                             
lousy               			1                             
coeds               			1                             
loud                			2                             
naughty             			1                             
daunting            			1                             
thereof             			1                             
hearing             			1                             
disappearing        			2                             
thick               			1                             
Congress            			1                             
youse               			5                             
swaddled            			1                             
neck                			1                             
girls               			4                             
elevator            			1                             
doga                			1                             
kinder              			2                             
Uncle               			9                             
too                 			14                            
blossoms            			1                             
wildly              			1                             
Press               			1                             
bodys               			1                             
farming             			1                             
bitter              			1                             
listen              			2                             
B                   			2                             
canned              			1                             
pubic               			1                             
griefs              			1                             
brushes             			1                             
took                			8                             
wastes              			1                             
kindest             			1                             
mutilated           			1                             
somewhat            			2                             
glow                			1                             
unscented           			1                             
peculiar            			1                             
Beautiful           			1                             
mercy               			2                             
badness             			1                             
restmy              			1                             
coward              			1                             
immaterial          			1                             
tree                			14                            
nations             			2                             
matter              			3                             
street              			1                             
flame               			5                             
feeling             			2                             
minus               			1                             
doorlets            			1                             
rag                 			1                             
acclaim             			1                             
ran                 			3                             
shyly               			2                             
mind                			15                            
mine                			2                             
anybody             			2                             
talking             			1                             
greenly             			1                             
manner              			1                             
seen                			2                             
seem                			2                             
ocean               			2                             
dozen               			1                             
Then                			1                             
Them                			1                             
gambol              			1                             
thoroughly          			2                             
Thee                			2                             
awandering          			1                             
snow                			11                            
laughed             			4                             
trillers            			1                             
rides               			1                             
loneliest           			1                             
Lifting             			1                             
blue                			4                             
exactly             			1                             
committing          			1                             
wrists              			1                             
shall               			30                            
proving             			1                             
humbly              			3                             
toil                			1                             
immediacy           			1                             
cummings            			1                             
coin                			1                             
Snails              			1                             
parting             			1                             
morality            			1                             
sweetly             			2                             
professor           			1                             
flow                			1                             
breathes            			1                             
rancid              			1                             
aunt                			1                             
parenthesis         			1                             
breathed            			1                             
Its                 			2                             
came                			3                             
marvel              			1                             
saying              			2                             
silverly            			1                             
departing           			1                             
queen               			1                             
syntax              			1                             
deftly              			1                             
religions           			1                             
queer               			2                             
earth               			10                            
cheaply             			1                             
thirds              			1                             
nascitur            			1                             
touches             			1                             
busy                			3                             
just                			9                             
spite               			4                             
Brand               			2                             
wristers            			1                             
myth                			1                             
cripple             			1                             
godsbut             			2                             
fifteenthrate       			1                             
bliss               			2                             
touched             			4                             
rich                			1                             
wrongsideoutsameness			1                             
subhuman            			1                             
dullness            			1                             
Spearmint           			1                             
emphatically        			1                             
wearing             			1                             
do                  			20                            
trouserfly          			1                             
de                  			1                             
watch               			1                             
perceive            			1                             
magicor             			1                             
youngwhatever       			1                             
talentgang          			1                             
fetish              			1                             
Quick               			1                             
X                   			1                             
abyss               			1                             
earn                			1                             
justnude            			1                             
countries           			1                             
fiveid              			1                             
holypoets           			1                             
bay                 			1                             
twice               			1                             
eyelids             			1                             
lurched             			1                             
gears               			1                             
cower               			1                             
deeplyness          			1                             
steam               			1                             
ears                			5                             
victim              			1                             
fair                			2                             
diminutive          			1                             
fluffy              			1                             
roasted             			1                             
shuter              			1                             
decided             			2                             
twilights           			1                             
fail                			3                             
best                			5                             
pastel              			1                             
said                			39                            
kumrad              			1                             
immaculately        			1                             
mus                 			1                             
succinctly          			1                             
away                			9                             
afloat              			1                             
rings               			1                             
continually         			1                             
Water               			1                             
mud                 			3                             
stamps              			1                             
BUI                 			1                             
finger              			6                             
disprove            			2                             
bellowing           			1                             
baboon              			3                             
side                			2                             
we                  			43                            
men                 			8                             
wears               			1                             
extend              			2                             
Sixteenth           			1                             
mei                 			1                             
westpointer         			1                             
however             			1                             
leaping             			1                             
wear                			3                             
flowering           			1                             
pity                			5                             
netsam              			1                             
country             			5                             
ill                 			4                             
against             			3                             
steer               			2                             
faces               			3                             
clenched            			1                             
coo                 			1                             
spear               			1                             
churchs             			1                             
height              			1                             
springs             			1                             
trust               			1                             
offered             			1                             
hitler              			1                             
speak               			5                             
ourselves           			4                             
IOO                 			1                             
incomparable        			1                             
grave               			5                             
ropes               			1                             
violets             			1                             
fro                 			1                             
three               			3                             
been                			5                             
much                			15                            
schoolroom          			1                             
privilege           			1                             
guessquite          			1                             
Flowers             			1                             
threw               			2                             
refuted             			1                             
life                			21                            
deeper              			3                             
Mothers             			1                             
nuisances           			1                             
Amrique             			1                             
circustent          			1                             
spic                			1                             
dave                			1                             
lift                			1                             
chile               			1                             
child               			1                             
catch               			1                             
doth                			3                             
spin                			2                             
skilfully           			1                             
applied             			1                             
affirm              			1                             
Into                			2                             
tastes              			1                             
air                 			5                             
aim                 			1                             
evening             			1                             
Altoona             			1                             
suppose             			2                             
cracked             			1                             
voice               			8                             
Ernes               			1                             
buried              			2                             
remembering         			2                             
stink               			1                             
loveall             			1                             
played              			1                             
is                  			187                           
it                  			63                            
shame               			2                             
cant                			4                             
flatfolk            			1                             
im                  			4                             
in                  			127                           
ic                  			1                             
mouse               			4                             
subjunctive         			1                             
disappear           			1                             
if                  			89                            
containing          			1                             
lacking             			1                             
furled              			1                             
suggest             			1                             
make                			5                             
whichs              			1                             
jerry               			1                             
beside              			2                             
fatal               			2                             
patient             			1                             
preponderatingly    			1                             
dart                			1                             
sat                 			1                             
entitled            			4                             
maims               			1                             
slowlybarely        			1                             
peaks               			1                             
nil                 			1                             
scalpelthey         			1                             
swell               			1                             
himi                			1                             
hang                			1                             
rain                			10                            
hand                			7                             
marched             			1                             
kin                 			1                             
doer                			1                             
dark                			9                             
faiths              			1                             
stiffened           			1                             
thoughts            			1                             
kid                 			1                             
weakly              			1                             
thy                 			10                            
auspicious          			1                             
Garter              			1                             
youre               			8                             
Mine                			1                             
T                   			1                             
Findingest          			1                             
ragged              			2                             
resuming            			1                             
mother              			6                             
hearts              			3                             
the                 			374                           
Clothing            			1                             
left                			1                             
bugger              			1                             
Harrys              			1                             
consciousness       			1                             
progressand         			1                             
gods                			4                             
warmest             			1                             
somethings          			1                             
measureless         			1                             
thumbs              			1                             
human               			2                             
yes                 			26                            
yer                 			1                             
yet                 			4                             
hills               			1                             
piracies            			1                             
had                 			12                            
mask                			1                             
passive             			1                             
shout               			2                             
beloved             			1                             
has                 			15                            
hat                 			1                             
gave                			1                             
bandy               			1                             
D                   			3                             
hoi                 			1                             
possible            			3                             
possibly            			4                             
descending          			1                             
birth               			1                             
Missouri            			1                             
shadow              			1                             
madge               			1                             
fiendif             			1                             
dreams              			3                             
quantitybut         			1                             
desire              			1                             
Art                 			1                             
illimitably         			1                             
gift                			1                             
nudg                			1                             
noti                			1                             
alice               			1                             
theyre              			5                             
zeal                			1                             
splendor            			2                             
homing              			3                             
night               			5                             
hung                			1                             
Satan               			1                             
cowardice           			2                             
right               			12                            
old                 			11                            
envision            			1                             
people              			7                             
understand          			4                             
successfully        			1                             
proudly             			3                             
somehow             			1                             
dead                			13                            
born                			6                             
HI                  			1                             
forevers            			1                             
Noel                			2                             
travelledgladly     			2                             
dear                			11                            
weby                			1                             
yellowsonofabitch   			1                             
creep               			2                             
Life                			3                             
for                 			76                            
alivedearitskiss    			1                             
Nobody              			1                             
Boobs               			1                             
VINAL               			2                             
sowed               			1                             
gamewhat            			1                             
everything          			15                            
icy                 			1                             
Les                 			1                             
Let                 			1                             
McCann              			1                             
mademy              			3                             
serpents            			2                             
beget               			1                             
Dwhile              			1                             
He                  			4                             
pinched             			1                             
particular          			1                             
screamingly         			1                             
nobodyll            			1                             
stepp               			1                             
kneeling            			2                             
Think               			1                             
First               			1                             
hesitateto          			2                             
citizens            			1                             
frailer             			1                             
o                   			12                            
plunging            			1                             
meon                			1                             
oneness             			1                             
despair             			5                             
afternoon           			1                             
excellent           			1                             
gingerbread         			2                             
permission          			1                             
twitch              			1                             
thinner             			1                             
whats               			3                             
wethat              			1                             
unfools             			1                             
sames               			1                             
pays                			1                             
float               			3                             
delighted           			1                             
son                 			3                             
down                			20                            
lies                			3                             
explain             			1                             
heartlike           			1                             
youlisiiently       			1                             
TAime               			1                             
totters             			1                             
altitude            			1                             
flying              			1                             
illustrious         			1                             
sunlight            			2                             
Hand                			2                             
absolutely          			1                             
presidentbeing      			1                             
fraction            			1                             
reintegratingshall  			1                             
call                			6                             
was                 			35                            
war                 			5                             
happy               			2                             
head                			11                            
therefrom           			1                             
secondhand          			1                             
form                			2                             
crown               			2                             
lovebut             			1                             
fireworks           			1                             
forgetful           			1                             
failure             			1                             
heat                			1                             
uncle               			2                             
Span                			1                             
true                			13                            
candle              			1                             
viva                			2                             
protestant          			1                             
portions            			1                             
veiled              			1                             
utmost              			2                             
inside              			1                             
bargain             			2                             
tell                			6                             
dick                			1                             
Much                			1                             
gould               			5                             
overmuch            			1                             
smashed             			2                             
emit                			1                             
adorn               			1                             
breathe             			3                             
molehills           			1                             
gather              			1                             
sticks              			1                             
trig                			1                             
Between             			1                             
lonjewray           			1                             
sale                			1                             
gland               			2                             
scientific          			2                             
guessed             			1                             
exist               			1                             
prayer              			1                             
floating            			4                             
wintry              			1                             
radically           			1                             
dying               			3                             
no                  			37                            
nb                  			1                             
leafless            			1                             
when                			40                            
vanishes            			1                             
tis                 			2                             
unstrange           			1                             
interested          			2                             
isnts               			1                             
holding             			1                             
littleness          			1                             
tie                 			2                             
smelled             			1                             
whey                			1                             
smell               			3                             
roll                			1                             
absurd              			1                             
picture             			1                             
E                   			4                             
felt                			2                             
mightily            			1                             
fell                			2                             
dappled             			1                             
Ide                 			1                             
Gardens             			1                             
died                			6                             
began               			2                             
billion             			3                             
younger             			3                             
fortissimo          			1                             
excuse              			1                             
moved               			7                             
fears               			2                             
stout               			1                             
together            			1                             
ingmy               			1                             
time                			20                            
songs               			3                             
wellbeloved         			1                             
inhuman             			1                             
impression          			1                             
dance               			11                            
skip                			2                             
Indians             			1                             
souls               			3                             
invent              			2                             
mile                			1                             
murmurs             			1                             
Victo               			1                             
hole                			1                             
supposedly          			1                             
inhabited           			1                             
ver                 			1                             
foe                 			2                             
godless             			1                             
father              			10                            
answered            			1                             
swoop               			1                             
rainbows            			1                             
terror              			2                             
Silencethis         			1                             
fancied             			1                             
brown               			1                             
string              			1                             
advantage           			2                             
story               			1                             
poesy               			1                             
minuti              			1                             
cook                			1                             
watersmoothsilver   			1                             
Where               			1                             
minute              			1                             
cool                			2                             
din                 			1                             
boygirls            			1                             
clouds              			2                             
Just                			5                             
level               			1                             
did                 			13                            
die                 			9                             
singings            			1                             
fragile             			2                             
brother             			1                             
gum                 			1                             
leave               			1                             
item                			3                             
denounces           			1                             
science             			1                             
quick               			3                             
lever               			1                             
round               			3                             
cetera              			2                             
brave               			3                             
says                			5                             
meadow              			1                             
NDBX                			1                             
heartedNujoIneedingTheresAReason			1                             
discover            			1                             
shirts              			1                             
run                 			3                             
chicken             			1                             
Girlboys            			1                             
curse               			1                             
stands              			5                             
ere                 			1                             
heres               			10                            
thicker             			3                             
peels               			1                             
goes                			2                             
nine                			1                             
filled              			1                             
illimitable         			2                             
Me                  			1                             
ViVa                			1                             
burn                			1                             
sweeter             			1                             
wail                			1                             
youexceedingly      			1                             
honour              			2                             
funeral             			1                             
stallion            			1                             
objector            			1                             
water               			3                             
contemplate         			1                             
address             			1                             
hoarse              			1                             
roaring             			1                             
My                  			2                             
teacher             			1                             
change              			1                             
wait                			1                             
box                 			2                             
boy                 			1                             
condoms             			1                             
Fleeter             			1                             
impatiently         			1                             
Mister              			1                             
grinned             			1                             
jungles             			1                             
needlessly          			1                             
terrorblow          			1                             
MR                  			2                             
weird               			1                             
history             			2                             
pillow              			2                             
treasure            			1                             
love                			78                            
queerying           			1                             
merely              			7                             
cared               			1                             
uphill              			1                             
bravely             			1                             
everybody           			4                             
crammed             			1                             
wealth              			1                             
prove               			5                             
chairs              			1                             
angry               			1                             
give                			11                            
sherman             			1                             
by                  			75                            
live                			8                             
prey                			1                             
believing           			1                             
AMERICA             			1                             
angels              			4                             
today               			1                             
marbles             			1                             
F                   			1                             
smallening          			1                             
Eve                 			1                             
everywhere          			4                             
employed            			1                             
velour              			1                             
fly                 			3                             
POEM                			2                             
wouldnt             			4                             
pretend             			2                             
soul                			11                            
arethe              			1                             
jetsam              			3                             
can                 			32                            
making              			1                             
bites               			1                             
caf                 			1                             
slightest           			1                             
Out                 			3                             
onetwothreefourfive 			1                             
months              			1                             
violetflavoured     			1                             
near                			2                             
heard               			2                             
stroke              			1                             
dropped             			2                             
allowed             			1                             
chic                			1                             
Effie               			2                             
stole               			1                             
occur               			1                             
listens             			1                             
rays                			1                             
winter              			7                             
soursweet           			1                             
foul                			1                             
dooms               			3                             
innumerable         			3                             
till                			4                             
actual              			2                             
pure                			4                             
nevers              			1                             
sworn               			1                             
Why                 			1                             
armies              			2                             
laundry             			1                             
may                 			40                            
Always              			1                             
treespoor           			1                             
grooving            			1                             
forevering          			1                             
pseudobeast         			1                             
crashed             			1                             
birthday            			1                             
mad                 			3                             
such                			15                            
heroes              			1                             
mam                 			1                             
grow                			8                             
lifting             			1                             
man                 			29                            
lovetime            			2                             
secondintohigh      			1                             
remember            			2                             
Olaftoo             			1                             
whenever            			1                             
maybe               			1                             
mindmountains       			1                             
sh                  			2                             
so                  			62                            
hugeness            			1                             
tall                			4                             
increase            			2                             
talk                			1                             
etcetera            			6                             
sonnet              			2                             
tsze                			1                             
lighter             			1                             
furnished           			2                             
wishing             			5                             
years               			1                             
course              			3                             
yearn               			1                             
cold                			1                             
still               			8                             
stir                			2                             
birds               			9                             
toiletbowl          			1                             
contented           			1                             
thank               			3                             
selves              			5                             
nymph               			1                             
enni                			1                             
Cluett              			1                             
window              			2                             
whole               			5                             
constitutes         			1                             
showingitself       			1                             
World               			1                             
sandpile            			1                             
happened            			1                             
toys                			1                             
roses               			4                             
lonely              			1                             
internalexpanding   			1                             
lovethat            			1                             
indigenous          			1                             
records             			1                             
touching            			2                             
compelled           			2                             
half                			5                             
not                 			74                            
now                 			34                            
twilight            			2                             
killed              			1                             
rattles             			1                             
sowing              			1                             
wont                			4                             
falsest             			1                             
name                			7                             
chuckled            			1                             
clutch              			1                             
times               			5                             
redrag              			2                             
invents             			1                             
apiercing           			1                             
entirely            			2                             
seldom              			1                             
Swoopshrill         			1                             
square              			1                             
fired               			1                             
stooping            			3                             
novembers           			1                             
iSt                 			1                             
littler             			1                             
gird                			1                             
ex                  			1                             
year                			4                             
et                  			2                             
girl                			2                             
living              			11                            
opened              			2                             
space               			2                             
Joy                 			1                             
abide               			1                             
looking             			2                             
exploding           			1                             
formula             			1                             
hundredmillionothers			1                             
deafanddumb         			1                             
undead              			1                             
monster             			1                             
G                   			1                             
million             			4                             
punks               			2                             
quite               			11                            
pled                			1                             
poems               			1                             
itsters             			1                             
cough               			1                             
limps               			1                             
care                			4                             
language            			1                             
selections          			1                             
collapsing          			1                             
Duluth              			1                             
thing               			15                            
impure              			1                             
thine               			1                             
place               			3                             
swing               			1                             
turd                			1                             
star                			4                             
think               			7                             
frequent            			1                             
first               			14                            
blind               			3                             
ono                 			1                             
mans                			1                             
waves               			1                             
Royal               			1                             
one                 			48                            
clumsy              			2                             
americans           			1                             
periodical          			1                             
vote                			1                             
ring                			5                             
drove               			1                             
open                			8                             
tomorrow            			4                             
millions            			1                             
Brushing            			1                             
city                			3                             
little              			51                            
stifles             			1                             
sheet               			1                             
silent              			8                             
caught              			2                             
trillion            			1                             
dawns               			1                             
uumcleaners         			1                             
gorry               			1                             
compulsory          			1                             
anyone              			6                             
returns             			1                             
worshipped          			1                             
moonly              			1                             
tinily              			2                             
white               			7                             
dancingare          			1                             
friend              			6                             
gives               			4                             
rainman             			1                             
eyes                			22                            
hug                 			1                             
pomp                			1                             
way                 			7                             
mostly              			1                             
that                			65                            
brains              			4                             
moscow              			1                             
huh                 			1                             
coffinlid           			1                             
fooled              			1                             
flowers             			18                            
than                			81                            
coax                			1                             
famine              			1                             
Love                			4                             
sailing             			2                             
yearning            			1                             
scrumptious         			1                             
protected           			1                             
spat                			2                             
unburied            			1                             
were                			23                            
oath                			1                             
damned              			4                             
and                 			475                           
buries              			1                             
tasted              			1                             
sam                 			3                             
confessed           			1                             
turned              			2                             
lice                			1                             
voices              			7                             
say                 			27                            
rent                			1                             
allofher            			1                             
anger               			1                             
skilfullymysteriouslyher			1                             
sells               			1                             
sap                 			3                             
saw                 			1                             
any                 			29                            
unfree              			1                             
Do                  			1                             
overjoyed           			1                             
general             			2                             
supernod            			1                             
ideas               			3                             
note                			1                             
wiltrepaying        			1                             
Progress            			2                             
take                			8                             
roadside            			1                             
wanting             			1                             
sameness            			1                             
blunt               			1                             
Tomyour             			1                             
skilful             			1                             
whying              			1                             
begin               			6                             
sure                			2                             
pain                			3                             
normal              			1                             
Thorn               			1                             
keeps               			1                             
TIMES               			1                             
instrumentsboth     			1                             
spangles            			1                             
peopleand           			1                             
pair                			1                             
america             			2                             
winters             			1                             
weazel              			1                             
forever             			8                             
especially          			1                             
wreathed            			1                             
proud               			8                             
hungry              			3                             
helplessly          			1                             
nipponized          			1                             
slaves              			1                             
Venezia             			1                             
earwarmers          			1                             
hear                			4                             
solemnly            			1                             
thinkmay            			1                             
erred               			1                             
shop                			1                             
walking             			2                             
shot                			3                             
comics              			1                             
imagines            			1                             
cheap               			2                             
leapno              			1                             
fifty               			1                             
discovered          			1                             
hopes               			2                             
bright              			6                             
threshold           			1                             
corner              			1                             
line                			1                             
ground              			2                             
aint                			2                             
manmay              			1                             
We                  			2                             
slow                			1                             
unanimal            			1                             
buriedSatan         			2                             
texture             			1                             
dull                			4                             
ufactured           			1                             
only                			32                            
trunkand            			1                             
black               			3                             
faith               			1                             
throstles           			1                             
blinds              			1                             
bridge              			1                             
get                 			4                             
sortofaliveing      			1                             
H                   			1                             
moons               			4                             
truly               			3                             
Turn                			1                             
unimportant         			1                             
cannot              			6                             
nearly              			2                             
gee                 			1                             
progress            			2                             
kike                			1                             
vive                			1                             
stroll              			2                             
Right               			1                             
pinnacle            			1                             
bigly               			1                             
isnt                			9                             
nowspring           			1                             
morning             			3                             
naked               			2                             
ppoyds              			1                             
clowns              			3                             
answcrest           			1                             
sunly               			1                             
Education           			1                             
where               			21                            
woke                			1                             
silently            			3                             
Loggia              			1                             
seas                			1                             
dived               			1                             
whys                			2                             
isabel              			1                             
asleep              			2                             
Grand               			1                             
collects            			1                             
sport               			1                             
clumsily            			1                             
wonder              			1                             
surfaces            			1                             
limber              			1                             
opening             			5                             
Disappeared         			1                             
enough              			6                             
midsummers          			1                             
between             			3                             
experienceyour      			1                             
pitiless            			1                             
whispered           			3                             
fight               			1                             
fearless            			2                             
killing             			2                             
blame               			1                             
dreamless           			1                             
spare               			1                             
marriageable        			1                             
whitest             			2                             
come                			12                            
recall              			1                             
UNITED              			1                             
whatevers           			1                             
many                			5                             
sleeps              			1                             
according           			1                             
s                   			4                             
loudly              			2                             
comes               			7                             
gnomes              			1                             
among               			5                             
loveliest           			1                             
Death               			3                             
spoil               			1                             
lessthat            			1                             
upslipped           			1                             
compels             			1                             
period              			1                             
insist              			1                             
gaiety              			1                             
colon               			1                             
assertions          			1                             
razorblade          			1                             
famished            			1                             
stroking            			1                             
logic               			1                             
mezzo               			1                             
season              			1                             
lifes               			4                             
howard              			1                             
arty                			1                             
vacation            			1                             
But                 			1                             
CHIMNEYS            			1                             
forevereven         			1                             
prurient            			1                             
staring             			1                             
whomevers           			1                             
himand              			1                             
wants               			1                             
straying            			1                             
thousand            			3                             
fie                 			1                             
whatisit            			1                             
spills              			1                             
wake                			1                             
careful             			1                             
spirit              			3                             
those               			3                             
sound               			2                             
myself              			3                             
fiends              			2                             
crumb               			3                             
these               			12                            
twigs               			1                             
handsand            			1                             
rhymes              			1                             
trick               			1                             
unbe                			1                             
screechowls         			1                             
thrillers           			1                             
stupidest           			1                             
bathe               			1                             
vest                			1                             
endowed             			1                             
sincere             			1                             
Dick                			1                             
sleeping            			1                             
good                			12                            
drug                			1                             
raptures            			1                             
heels               			1                             
return              			2                             
lovecrumbs          			1                             
worry               			2                             
intense             			1                             
pas                 			1                             
shuts               			1                             
mindheart           			1                             
pay                 			2                             
perpetually         			2                             
same                			3                             
gentlemen           			3                             
Excuse              			3                             
Etcetera            			1                             
yessir              			1                             
whoin               			1                             
pal                 			1                             
bluets              			1                             
nuzzle              			1                             
centuries           			3                             
applaud             			1                             
ye                  			2                             
foam                			1                             
ness                			3                             
cheers              			1                             
Drawers             			1                             
running             			1                             
fruit               			1                             
puke                			1                             
IN                  			1                             
changing            			2                             
weep                			1                             
dotted              			1                             
meanness            			1                             
considers           			1                             
Is                  			1                             
vacant              			1                             
It                  			5                             
rains               			1                             
without             			10                            
wideflung           			1                             
immeasurable        			4                             
bottle              			1                             
In                  			2                             
very                			17                            
ownmy               			1                             
Id                  			1                             
bodies              			1                             
If                  			1                             
summer              			3                             
morons              			1                             
adoring             			1                             
Arrow               			1                             
being               			21                            
money               			1                             
therere             			1                             
Schiavoni           			1                             
rest                			2                             
glassworks          			1                             
cease               			1                             
touch               			7                             
reality             			1                             
blackshirt          			1                             
blow                			5                             
death               			21                            
rose                			8                             
brightness          			1                             
seems               			1                             
except              			9                             
mythinto            			1                             
instrument          			1                             
lets                			4                             
luscious            			1                             
ghostly             			2                             
againjittle         			1                             
joyful              			1                             
skies               			4                             
swim                			1                             
shapeless           			1                             
crepuscular         			1                             
hover               			1                             
alwayssnow          			1                             
frown               			1                             
read                			2                             
stung               			1                             
calendars           			1                             
bow                 			3                             
gestures            			1                             
metope              			1                             
amp                 			21                            
snare               			1                             
walk                			2                             
lady                			5                             
grim                			1                             
grin                			2                             
boast               			1                             
frolic              			1                             
Old                 			1                             
collective          			2                             
swaying             			1                             
miracle             			2                             
sternly             			1                             
gimme               			1                             
miraculous          			1                             
thighs              			3                             
Biscuit             			1                             
downward            			2                             
tic                 			1                             
Before              			1                             
sharp               			1                             
howish              			1                             
doll                			2                             
duration            			1                             
New                 			2                             
divine              			2                             
thinks              			2                             
provided            			1                             
squirm              			3                             
perverse            			1                             
beginnings          			1                             
highest             			1                             
stops               			1                             
moon                			12                            
wellcurb            			1                             
Met                 			1                             
XAIPE               			1                             
sizeless            			1                             
snakeoil            			1                             
Earl                			1                             
welcome             			1                             
greasedlightningjust			1                             
power               			1                             
crease              			1                             
sixth               			1                             
kodaks              			1                             
strangles           			1                             
slaughter           			1                             
broken              			1                             
found               			5                             
Pain                			1                             
scholars            			1                             
handsomest          			1                             
on                  			34                            
stone               			7                             
fearto              			1                             
cryings             			1                             
joyfully            			1                             
oh                  			5                             
of                  			268                           
jeer                			1                             
cares               			1                             
slender             			1                             
YMampWC             			1                             
